timestamp,elapsed_time,current_speed,tempomat_target,original_tempomat,distance_to_lead,lead_vehicle_speed,distronic_active,distronic_speed,our_position,lead_position
1752779359.6194456,12.790738344192505,120,120,120,inf,118,False,0,0.0,0.0
1752779359.7269266,12.898219347000122,120,120,120,inf,118,False,0,0.0,0.0
1752779359.8363132,13.007606029510498,120,120,120,inf,118,False,0,0.0,0.0
1752779359.9442153,13.115508079528809,120,120,120,inf,118,False,0,0.0,0.0
1752779360.0533164,13.224609136581421,120,120,120,inf,118,False,0,0.0,0.0
1752779360.1606884,13.331981182098389,120,120,120,inf,118,False,0,0.0,0.0
1752779360.2684224,13.439715147018433,120,120,120,inf,118,False,0,0.0,0.0
1752779360.376589,13.547881841659546,120,120,120,inf,118,False,0,0.0,0.0
1752779360.4838731,13.655165910720825,120,120,120,inf,118,False,0,0.0,0.0
1752779360.5926616,13.763954401016235,120,120,120,inf,118,False,0,0.0,0.0
1752779360.7003973,13.871690034866333,120,120,120,inf,118,False,0,0.0,0.0
1752779360.8090835,13.980376243591309,120,120,120,inf,118,False,0,0.0,0.0
1752779360.9199488,14.091241598129272,120,120,120,inf,118,False,0,0.0,0.0
1752779361.0281813,14.199474096298218,120,120,120,inf,118,False,0,0.0,0.0
1752779361.135645,14.30693769454956,120,120,120,inf,118,False,0,0.0,0.0
1752779361.2441173,14.415410041809082,120,120,120,inf,118,False,0,0.0,0.0
1752779361.3531394,14.524432182312012,120,120,120,inf,118,False,0,0.0,0.0
1752779361.461178,14.632470846176147,120,120,120,inf,118,False,0,0.0,0.0
1752779361.570375,14.741667747497559,120,120,120,inf,118,False,0,0.0,0.0
1752779361.6791053,14.850398063659668,120,120,120,inf,118,False,0,0.0,0.0
1752779361.7880743,14.959367036819458,120,120,120,inf,118,False,0,0.0,0.0
1752779361.8966396,15.067932367324829,119,118,120,99.94444444444444,118,True,118,3.333333333333334,103.27777777777777
1752779362.0048077,15.176100492477417,118,118,120,99.91666666666666,118,True,118,6.638888888888889,106.55555555555554
1752779362.1136932,15.284986019134521,118,118,120,99.91666666666664,118,True,118,9.916666666666668,109.83333333333331
1752779362.2223487,15.393641471862793,118,118,120,99.91666666666664,118,True,118,13.194444444444446,113.11111111111109
1752779362.3313384,15.502631187438965,118,118,120,99.91666666666663,118,True,118,16.472222222222225,116.38888888888886
1752779362.44004,15.611332893371582,118,118,120,99.91666666666663,118,True,118,19.750000000000004,119.66666666666663
1752779362.5478594,15.719152212142944,118,118,120,99.91666666666661,118,True,118,23.027777777777782,122.9444444444444
